"Time","Content.Espresso","Content.Tea","Content.Milk","Trait.Cold","Trait.HighInSugar","Trait.HighInCaffeine","Control.Exams","Control.LowerSales","Temperature","DewPoint","Humidity","WindSpeed","Pressure","Clear","Fog","Rain","Snow"
"2017-05-29 13",13,5,12,0,3,1,FALSE,FALSE,14.6,12.1,85,28,100.82,FALSE,FALSE,TRUE,FALSE
"2017-05-29 14",9,5,10,4,2,2,FALSE,FALSE,14.1,12.7,91,22,100.85,FALSE,TRUE,TRUE,FALSE
"2017-05-29 15",5,4,7,1,0,0,FALSE,FALSE,13.8,12.5,92,31,100.87,FALSE,TRUE,TRUE,FALSE
"2017-05-29 16",5,5,2,0,3,1,FALSE,FALSE,13.7,12.3,91,33,100.87,FALSE,FALSE,TRUE,FALSE
"2017-05-29 17",1,2,0,1,0,0,FALSE,FALSE,13.2,12.1,93,29,100.87,FALSE,TRUE,TRUE,FALSE
"2017-05-29 18",3,7,3,2,4,0,FALSE,FALSE,13.3,12,92,28,100.9,FALSE,FALSE,TRUE,FALSE
"2017-05-29 19",4,1,3,0,1,3,FALSE,FALSE,13.2,11.8,91,31,100.89,FALSE,FALSE,TRUE,FALSE
"2017-05-29 20",1,2,1,1,1,0,FALSE,FALSE,13.2,11.8,91,30,100.93,FALSE,FALSE,TRUE,FALSE
"2017-05-29 7",11,0,7,0,0,1,FALSE,FALSE,18.9,10,56,28,100.58,FALSE,FALSE,FALSE,FALSE
"2017-05-29 8",8,3,7,0,1,0,FALSE,FALSE,19.3,10.7,57,34,100.59,FALSE,FALSE,FALSE,FALSE
"2017-05-29 9",11,9,8,1,1,2,FALSE,FALSE,18.6,11,61,32,100.64,FALSE,FALSE,FALSE,FALSE
"2017-05-30 10",13,2,13,2,1,4,FALSE,FALSE,15.8,12.4,80,24,101.12,FALSE,FALSE,FALSE,FALSE
"2017-05-30 11",9,2,7,4,0,1,FALSE,FALSE,15.7,12.5,81,23,101.13,FALSE,FALSE,TRUE,FALSE
"2017-05-30 12",9,5,8,2,4,2,FALSE,FALSE,15.6,13.3,86,25,101.13,FALSE,FALSE,TRUE,FALSE
"2017-05-30 13",10,2,7,3,2,4,FALSE,FALSE,14.6,13.7,94,20,101.12,FALSE,FALSE,TRUE,FALSE
"2017-05-30 14",9,1,11,0,1,3,FALSE,FALSE,14.7,13.8,94,26,101.02,FALSE,FALSE,TRUE,FALSE
"2017-05-30 15",1,1,0,1,0,1,FALSE,FALSE,17.1,15.1,88,24,100.9,FALSE,FALSE,TRUE,FALSE
"2017-05-30 16",4,1,0,1,0,2,FALSE,FALSE,18.6,14.7,78,19,100.86,FALSE,FALSE,FALSE,FALSE
"2017-05-30 17",6,2,5,3,0,0,FALSE,FALSE,17.7,13.7,77,28,100.8,FALSE,FALSE,FALSE,FALSE
"2017-05-30 18",6,6,7,3,3,2,FALSE,FALSE,16.8,13.9,83,24,100.75,FALSE,FALSE,FALSE,FALSE
"2017-05-30 19",5,0,4,0,0,2,FALSE,FALSE,16.4,13.5,83,22,100.74,TRUE,FALSE,FALSE,FALSE
"2017-05-30 20",1,0,0,0,0,1,FALSE,FALSE,15.7,13.4,86,18,100.89,TRUE,FALSE,FALSE,FALSE
"2017-05-30 7",9,0,9,2,1,2,FALSE,FALSE,14,11.6,85,17,101.13,FALSE,FALSE,FALSE,FALSE
"2017-05-30 8",18,2,14,1,0,3,FALSE,FALSE,14.1,11.8,86,21,101.1,FALSE,FALSE,TRUE,FALSE
"2017-05-30 9",16,1,11,0,0,7,FALSE,FALSE,16.3,12.7,79,17,101.12,FALSE,FALSE,TRUE,FALSE
"2017-05-31 10",8,2,4,0,1,5,FALSE,FALSE,19.1,14.6,75,11,100.8,TRUE,FALSE,FALSE,FALSE
"2017-05-31 11",8,2,7,0,1,1,FALSE,FALSE,20.7,15.1,70,14,100.73,TRUE,FALSE,FALSE,FALSE
"2017-05-31 12",9,6,10,3,3,0,FALSE,FALSE,22,11.8,52,26,100.66,TRUE,FALSE,FALSE,FALSE
"2017-05-31 13",4,4,4,6,1,6,FALSE,FALSE,22.6,10.6,46,32,100.58,FALSE,FALSE,FALSE,FALSE
"2017-05-31 14",12,4,13,10,2,2,FALSE,FALSE,22.9,9.1,41,24,100.58,FALSE,FALSE,FALSE,FALSE
"2017-05-31 15",5,2,4,5,1,4,FALSE,FALSE,22.9,9.5,42,25,100.48,FALSE,FALSE,FALSE,FALSE
"2017-05-31 16",7,2,7,3,1,0,FALSE,FALSE,21.7,9.1,44,25,100.5,FALSE,FALSE,FALSE,FALSE
"2017-05-31 17",1,3,1,1,1,2,FALSE,FALSE,21.6,9,44,18,100.5,FALSE,FALSE,FALSE,FALSE
"2017-05-31 18",5,6,2,2,1,3,FALSE,FALSE,22,7.2,38,24,100.5,FALSE,FALSE,FALSE,FALSE
"2017-05-31 19",3,1,2,1,0,0,FALSE,FALSE,17.9,8.3,53,14,100.51,FALSE,FALSE,FALSE,FALSE
"2017-05-31 20",1,1,1,0,1,0,FALSE,FALSE,16.6,9.1,61,5,100.51,FALSE,FALSE,FALSE,FALSE
"2017-05-31 7",5,0,4,0,1,2,FALSE,FALSE,13.8,12.5,92,21,100.92,FALSE,FALSE,TRUE,FALSE
"2017-05-31 8",8,1,3,0,1,4,FALSE,FALSE,15.6,13.1,85,14,100.9,FALSE,FALSE,TRUE,FALSE
